timestamp, last_tc_value, tmp_id, throughput, buffer, stallDuration, representationId, 
1646808130, 4000, dashjs3.1.3_c18, 3812, 19.434, 0.26809999999403955, bbb_30fps_320x180_400k, 
1646808130, 4000, dashjs3.1.3_c70, 4750, 19.287, 3.828699999988079, bbb_30fps_320x180_400k, 
1646808134, 4000, dashjs3.1.3_c18, 4793, 19.682, 0.26809999999403955, bbb_30fps_320x180_400k, 
1646808134, 4000, dashjs3.1.3_c70, 4866, 19.543, 3.828699999988079, bbb_30fps_320x180_400k, 
1646808138, 8000, dashjs3.1.3_c18, 5382, 19.431, 0.26809999999403955, bbb_30fps_320x180_400k, 
1646808138, 8000, dashjs3.1.3_c70, 5774, 19.292, 3.828699999988079, bbb_30fps_320x180_400k, 
1646808142, 8000, dashjs3.1.3_c18, 6620, 19.679, 0.26809999999403955, bbb_30fps_320x180_400k, 
1646808142, 8000, dashjs3.1.3_c70, 6718, 19.541, 3.828699999988079, bbb_30fps_320x180_400k, 
1646808146, 8000, dashjs3.1.3_c18, 7464, 19.428, 0.26809999999403955, bbb_30fps_320x180_400k, 
1646808146, 8000, dashjs3.1.3_c70, 7550, 19.54, 3.828699999988079, bbb_30fps_320x180_400k, 
1646808153, 8000, dashjs3.1.3_c18, 7146, 16.926, 0.26809999999403955, bbb_30fps_1280x720_4000k, 
1646808153, 8000, dashjs3.1.3_c70, 7149, 16.288, 3.828699999988079, bbb_30fps_1280x720_4000k, 
1646808157, 8000, dashjs3.1.3_c18, 7027, 16.925, 0.26809999999403955, bbb_30fps_1280x720_4000k, 
1646808157, 8000, dashjs3.1.3_c70, 7360, 16.536, 3.828699999988079, bbb_30fps_1280x720_4000k, 
1646808161, 8000, dashjs3.1.3_c18, 7260, 16.098, 0.26809999999403955, bbb_30fps_1280x720_4000k, 
1646808161, 8000, dashjs3.1.3_c70, 6322, 16.535, 3.828699999988079, bbb_30fps_1280x720_4000k, 
1646808164, 8000, dashjs3.1.3_c18, 5052, 17.422, 0.26809999999403955, bbb_30fps_1280x720_4000k, 
1646808166, 8000, dashjs3.1.3_c70, 6228, 16.034, 3.828699999988079, bbb_30fps_1280x720_4000k, 
1646808166, 8000, dashjs3.1.3_c70, 8062, 19.034, 3.828699999988079, bbb_30fps_1280x720_4000k, 
1646808167, 20000, dashjs3.1.3_c18, 5276, 18.171, 0.26809999999403955, bbb_30fps_1024x576_2500k, 
1646808170, 20000, dashjs3.1.3_c18, 8436, 19.421, 0.26809999999403955, bbb_30fps_1024x576_2500k, 
1646808171, 20000, dashjs3.1.3_c70, 9919, 18.782, 3.828699999988079, bbb_30fps_1280x720_4000k, 
1646808174, 20000, dashjs3.1.3_c18, 9474, 19.169, 0.26809999999403955, bbb_30fps_1024x576_2500k, 
1646808175, 20000, dashjs3.1.3_c70, 11800, 18.781, 3.828699999988079, bbb_30fps_1280x720_4000k, 
1646808179, 20000, dashjs3.1.3_c18, 9699, 18.668, 0.26809999999403955, bbb_30fps_1024x576_2500k, 
1646808179, 20000, dashjs3.1.3_c70, 17392, 18.78, 3.828699999988079, bbb_30fps_1280x720_4000k, 
1646808182, 20000, dashjs3.1.3_c18, 10531, 19.167, 0.26809999999403955, bbb_30fps_1024x576_2500k, 
1646808183, 20000, dashjs3.1.3_c70, 16986, 18.778, 3.828699999988079, bbb_30fps_1280x720_4000k, 
1646808187, 20000, dashjs3.1.3_c18, 10724, 18.665, 0.26809999999403955, bbb_30fps_1024x576_2500k, 
1646808187, 20000, dashjs3.1.3_c70, 15564, 18.527, 3.828699999988079, bbb_30fps_1280x720_4000k, 
1646808190, 20000, dashjs3.1.3_c18, 11707, 19.164, 0.26809999999403955, bbb_30fps_1024x576_2500k, 
1646808191, 20000, dashjs3.1.3_c70, 16521, 18.776, 3.828699999988079, bbb_30fps_1280x720_4000k, 
1646808194, 20000, dashjs3.1.3_c18, 12909, 19.163, 0.26809999999403955, bbb_30fps_1024x576_2500k, 
1646808195, 20000, dashjs3.1.3_c70, 16933, 18.513, 3.828699999988079, bbb_30fps_1280x720_4000k, 
1646808200, 8000, dashjs3.1.3_c18, 12156, 17.411, 0.26809999999403955, bbb_30fps_1024x576_2500k, 
1646808201, 8000, dashjs3.1.3_c70, 15017, 17.012, 3.828699999988079, bbb_30fps_1280x720_4000k, 
1646808205, 8000, dashjs3.1.3_c18, 12154, 16.159, 0.26809999999403955, bbb_30fps_1280x720_4000k, 
1646808207, 8000, dashjs3.1.3_c70, 13494, 15.51, 3.828699999988079, bbb_30fps_1280x720_4000k, 
1646808210, 8000, dashjs3.1.3_c18, 10143, 15.908, 0.26809999999403955, bbb_30fps_1280x720_4000k, 
1646808211, 8000, dashjs3.1.3_c70, 10589, 15.008, 3.828699999988079, bbb_30fps_1280x720_4000k, 
1646808213, 8000, dashjs3.1.3_c18, 4458, 16.407, 0.26809999999403955, bbb_30fps_1280x720_4000k, 
1646808215, 8000, dashjs3.1.3_c70, 4708, 15.507, 3.828699999988079, bbb_30fps_1280x720_4000k, 
1646808216, 8000, dashjs3.1.3_c18, 4335, 17.156, 0.26809999999403955, bbb_30fps_1024x576_2500k, 
1646808216, 8000, dashjs3.1.3_c70, 4383, 17.257, 3.828699999988079, bbb_30fps_1024x576_2500k, 
1646808219, 8000, dashjs3.1.3_c18, 4444, 18.155, 0.26809999999403955, bbb_30fps_1024x576_2500k, 
1646808220, 8000, dashjs3.1.3_c70, 4641, 17.756, 3.828699999988079, bbb_30fps_1024x576_2500k, 
1646808224, 8000, dashjs3.1.3_c18, 4540, 17.403, 0.26809999999403955, bbb_30fps_1024x576_2500k, 
1646808224, 8000, dashjs3.1.3_c70, 4672, 17.504, 3.828699999988079, bbb_30fps_1024x576_2500k, 
1646808227, 4000, dashjs3.1.3_c18, 5129, 18.902, 0.26809999999403955, bbb_30fps_1024x576_2500k, 
1646808227, 4000, dashjs3.1.3_c70, 7953, 19.004, 3.828699999988079, bbb_30fps_1024x576_2500k, 
1646808234, 4000, dashjs3.1.3_c18, 4695, 16.098, 0.26809999999403955, bbb_30fps_1024x576_2500k, 
1646808236, 4000, dashjs3.1.3_c70, 7121, 14.963, 3.828699999988079, bbb_30fps_1024x576_2500k, 
1646808240, 4000, dashjs3.1.3_c70, 6845, 14.499, 3.828699999988079, bbb_30fps_1024x576_2500k, 
1646808240, 4000, dashjs3.1.3_c18, 4345, 13.648, 0.26809999999403955, bbb_30fps_1024x576_2500k, 
1646808244, 4000, dashjs3.1.3_c18, 3990, 13.897, 0.26809999999403955, bbb_30fps_1024x576_2500k, 
1646808246, 4000, dashjs3.1.3_c70, 6868, 12.248, 3.828699999988079, bbb_30fps_1024x576_2500k, 
1646808249, 4000, dashjs3.1.3_c18, 2161, 12.883, 0.26809999999403955, bbb_30fps_1024x576_2500k, 
1646808250, 4000, dashjs3.1.3_c70, 2102, 12.496, 3.828699999988079, bbb_30fps_1024x576_2500k, 
